gene    set1 set2
Gene1 0 0
Gene2 1 0
Gene3 0 1
Gene4 1 0
Gene5 1 0
Gene6 0 0
Gene7 0 1
Gene8 1 1
Gene9 0 1
Gene10 0 0
Gene11 1 1
Gene12 0 1
Gene13 1 1
Gene14 0 0
Gene15 0 0
Gene16 1 0
Gene17 0 0
Gene18 0 0
Gene19 0 0
Gene20 1 1
Gene21 1 0
Gene22 1 0
Gene23 1 1
Gene24 1 1
Gene25 1 1
Gene26 1 0
Gene27 0 0
Gene28 0 0
Gene29 0 0
Gene30 0 0
Gene31 1 1
Gene32 1 1
Gene33 1 0
Gene34 1 1
Gene35 0 0
Gene36 0 0
Gene37 1 1
Gene38 0 0
Gene39 0 0
Gene40 0 0
Gene41 0 0
Gene42 0 0
Gene43 0 0
Gene44 0 0
Gene45 0 0
Gene46 0 0
Gene47 0 0
Gene48 0 1
Gene49 0 0
Gene50 1 0
Gene51 0 0
Gene52 0 1
Gene53 1 1
Gene54 0 1
Gene55 0 0
Gene56 0 0
Gene57 0 1
Gene58 1 0
Gene59 1 0
Gene60 0 0
Gene61 1 0
Gene62 0 1
Gene63 0 1
Gene64 0 0
Gene65 1 0
Gene66 0 0
Gene67 1 0
Gene68 1 0
Gene69 1 0
Gene70 0 1
Gene71 1 0
Gene72 1 1
Gene73 1 0
Gene74 0 1
Gene75 0 0
Gene76 0 1
Gene77 0 1
Gene78 1 1
Gene79 0 1
Gene80 0 0
Gene81 0 1
Gene82 1 1
Gene83 0 1
Gene84 1 1
Gene85 0 0
Gene86 0 0
Gene87 1 1
Gene88 1 0
Gene89 1 0
Gene90 0 0
Gene91 0 1
Gene92 1 0
Gene93 0 0
Gene94 1 0
Gene95 0 0
Gene96 0 0
Gene97 1 1
Gene98 0 1
Gene99 0 0
Gene100 0 1
Gene101 0 0
Gene102 0 0
Gene103 0 0
Gene104 1 0
Gene105 0 0
Gene106 1 1
Gene107 1 0
Gene108 1 1
Gene109 0 0
Gene110 0 1
Gene111 1 0
Gene112 0 1
Gene113 0 1
Gene114 1 1
Gene115 1 1
Gene116 0 0
Gene117 0 0
Gene118 1 1
Gene119 0 1
Gene120 0 1
Gene121 1 0
Gene122 0 1
Gene123 0 0
Gene124 0 0
Gene125 0 1
Gene126 1 0
Gene127 0 1
Gene128 0 1
Gene129 0 1
Gene130 1 0
Gene131 1 0
Gene132 1 0
Gene133 1 1
Gene134 1 0
Gene135 0 0
Gene136 1 1
Gene137 1 0
Gene138 1 1
Gene139 1 0
Gene140 0 1
Gene141 0 1
Gene142 0 0
Gene143 0 1
Gene144 0 0
Gene145 1 0
Gene146 0 0
Gene147 0 1
Gene148 0 0
Gene149 0 0
Gene150 1 0
Gene151 1 0
Gene152 0 0
Gene153 0 1
Gene154 0 1
Gene155 0 1
Gene156 0 0
Gene157 0 1
Gene158 0 0
Gene159 0 1
Gene160 0 1
Gene161 0 1
Gene162 0 1
Gene163 1 1
Gene164 0 1
Gene165 0 0
Gene166 0 0
Gene167 1 0
Gene168 0 0
Gene169 0 1
Gene170 0 1
Gene171 1 0
Gene172 0 0
Gene173 1 0
Gene174 1 0
Gene175 1 0
