Gene pathway
snp1 1
snp2 1
snp3 1
snp4 1
snp5 1
snp6 1
snp7 1
snp8 1
snp9 1
snp10 1
snp11 1
snp12 1
snp13 1
snp14 1
snp15 1
snp16 1
snp17 1
snp18 1
snp19 1
snp20 1
snp21 1
snp22 1
snp23 1
snp24 1
snp25 1
snp26 1
snp27 1
snp28 1
snp29 1
snp30 1
snp31 1
snp32 1
snp33 1
snp34 1
snp35 1
snp36 1
snp37 1
snp38 1
snp39 1
snp40 1
snp41 1
snp42 1
snp43 1
snp44 1
snp45 1
snp46 1
snp47 1
snp48 1
snp49 1
snp50 1
snp51 1
snp52 1
snp53 1
snp54 1
snp55 1
snp56 1
snp57 1
snp58 1
snp59 1
snp60 1
snp61 1
snp62 1
snp63 1
snp64 1
snp65 1
snp66 1
snp67 1
snp68 1
snp69 1
snp70 1
snp71 1
snp72 1
snp73 1
snp74 1
snp75 1
snp76 1
snp77 1
snp78 1
snp79 1
snp80 1
snp81 1
snp82 1
snp83 1
snp84 1
snp85 1
snp86 1
snp87 1
snp88 1
snp89 1
snp90 1
snp91 1
snp92 1
snp93 1
snp94 1
snp95 1
snp96 1
snp97 1
snp98 1
snp99 1
snp100 1
snp101 1
snp102 1
snp103 1
snp104 1
snp105 1
snp106 1
snp107 1
snp108 1
snp109 1
snp110 1
snp111 1
snp112 1
snp113 1
snp114 1
snp115 1
snp116 1
snp117 1
snp118 1
snp119 1
snp120 1
snp121 1
snp122 1
snp123 1
snp124 1
snp125 1
snp126 1
snp127 1
snp128 1
snp129 1
snp130 1
snp131 1
snp132 1
snp133 1
snp134 1
snp135 1
snp136 1
snp137 1
snp138 1
snp139 1
snp140 1
snp141 1
snp142 1
snp143 1
snp144 1
snp145 1
snp146 1
snp147 1
snp148 1
snp149 1
snp150 1
snp151 1
snp152 1
snp153 1
snp154 1
snp155 1
snp156 1
snp157 1
snp158 1
snp159 1
snp160 1
snp161 1
snp162 1
snp163 1
snp164 1
snp165 1
snp166 1
snp167 1
snp168 1
snp169 1
snp170 1
snp171 1
snp172 1
snp173 1
snp174 1
snp175 1
snp176 1
snp177 1
snp178 1
snp179 1
snp180 1
